[20:54:12.960] [INFO] Hello, Bryllite!
[20:54:13.031] [INFO] PeerListService started 127.0.0.1:65535 enode://0x503dd4a7f26E8EC2E6152B68621f282e0a267bc0@127.0.0.1:65535
[20:54:37.652] [INFO] New connection established! sid=1, remote=127.0.0.1:10680
[20:54:48.577] [INFO] New connection established! sid=2, remote=127.0.0.1:10681
[20:54:48.871] [INFO] New connection established! sid=3, remote=127.0.0.1:10682
[20:54:49.175] [INFO] New connection established! sid=4, remote=127.0.0.1:10683
[20:54:49.534] [INFO] New connection established! sid=5, remote=127.0.0.1:10684
[20:54:49.882] [INFO] New connection established! sid=6, remote=127.0.0.1:10685
[20:54:50.222] [INFO] New connection established! sid=7, remote=127.0.0.1:10686
[20:54:50.571] [INFO] New connection established! sid=8, remote=127.0.0.1:10687
[20:54:51.166] [INFO] New connection established! sid=9, remote=127.0.0.1:10688
[20:54:51.773] [INFO] New connection established! sid=10, remote=127.0.0.1:10689
[20:54:52.244] [INFO] New connection established! sid=11, remote=127.0.0.1:10690
[20:54:52.640] [INFO] New connection established! sid=12, remote=127.0.0.1:10691
[20:54:53.177] [INFO] New connection established! sid=13, remote=127.0.0.1:10692
[20:54:54.083] [INFO] New connection established! sid=14, remote=127.0.0.1:10694
[20:54:55.101] [INFO] New connection established! sid=15, remote=127.0.0.1:10695
[20:54:55.600] [INFO] New connection established! sid=16, remote=127.0.0.1:10696
[20:54:56.088] [INFO] New connection established! sid=17, remote=127.0.0.1:10697
[20:54:56.646] [INFO] New connection established! sid=18, remote=127.0.0.1:10698
[20:54:57.835] [INFO] New connection established! sid=19, remote=127.0.0.1:10699
[20:54:59.402] [INFO] New connection established! sid=20, remote=127.0.0.1:10700
[20:55:00.364] [INFO] New connection established! sid=21, remote=127.0.0.1:10701
[20:55:01.216] [INFO] New connection established! sid=22, remote=127.0.0.1:10702
[20:55:01.808] [INFO] New connection established! sid=23, remote=127.0.0.1:10703
[20:55:02.474] [INFO] New connection established! sid=24, remote=127.0.0.1:10704
[20:55:03.345] [INFO] New connection established! sid=25, remote=127.0.0.1:10705
[20:55:04.347] [INFO] New connection established! sid=26, remote=127.0.0.1:10706
[20:55:05.146] [INFO] New connection established! sid=27, remote=127.0.0.1:10707
[20:55:06.065] [INFO] New connection established! sid=28, remote=127.0.0.1:10708
[20:55:06.731] [INFO] New connection established! sid=29, remote=127.0.0.1:10709
[20:55:07.567] [INFO] New connection established! sid=30, remote=127.0.0.1:10710
[20:55:09.400] [INFO] New connection established! sid=31, remote=127.0.0.1:10711
[20:55:11.198] [INFO] New connection established! sid=32, remote=127.0.0.1:10712
[20:55:14.674] [INFO] New connection established! sid=33, remote=127.0.0.1:10713
[20:55:15.625] [INFO] New connection established! sid=34, remote=127.0.0.1:10714
[20:55:17.328] [INFO] New connection established! sid=35, remote=127.0.0.1:10715
[20:55:18.928] [INFO] New connection established! sid=36, remote=127.0.0.1:10716
[20:55:20.139] [INFO] New connection established! sid=37, remote=127.0.0.1:10717
[20:55:21.763] [INFO] New connection established! sid=38, remote=127.0.0.1:10718
[20:55:23.244] [INFO] New connection established! sid=39, remote=127.0.0.1:10719
[20:55:24.263] [INFO] New connection established! sid=40, remote=127.0.0.1:10720
[20:55:24.829] [INFO] New connection established! sid=41, remote=127.0.0.1:10721
[20:55:25.296] [INFO] New connection established! sid=42, remote=127.0.0.1:10722
[20:55:25.762] [INFO] New connection established! sid=43, remote=127.0.0.1:10723
[20:55:26.125] [INFO] New connection established! sid=44, remote=127.0.0.1:10724
[20:55:26.477] [INFO] New connection established! sid=45, remote=127.0.0.1:10725
[20:55:26.913] [INFO] New connection established! sid=46, remote=127.0.0.1:10726
[20:55:27.991] [INFO] New connection established! sid=47, remote=127.0.0.1:10727
[20:55:29.321] [INFO] New connection established! sid=48, remote=127.0.0.1:10728
[20:55:30.263] [INFO] New connection established! sid=49, remote=127.0.0.1:10729
[20:55:30.926] [INFO] New connection established! sid=50, remote=127.0.0.1:10730
[20:55:31.507] [INFO] New connection established! sid=51, remote=127.0.0.1:10731
[20:55:32.615] [INFO] New connection established! sid=52, remote=127.0.0.1:10732
[20:55:33.434] [INFO] New connection established! sid=53, remote=127.0.0.1:10733
[20:55:33.909] [INFO] New connection established! sid=54, remote=127.0.0.1:10734
[20:55:34.298] [INFO] New connection established! sid=55, remote=127.0.0.1:10735
[20:55:34.835] [INFO] New connection established! sid=56, remote=127.0.0.1:10736
[20:55:36.687] [INFO] New connection established! sid=57, remote=127.0.0.1:10737
[20:55:38.547] [INFO] New connection established! sid=58, remote=127.0.0.1:10738
[20:55:39.070] [INFO] New connection established! sid=59, remote=127.0.0.1:10739
[20:55:39.538] [INFO] New connection established! sid=60, remote=127.0.0.1:10740
[20:55:40.188] [INFO] New connection established! sid=61, remote=127.0.0.1:10741
[20:55:40.760] [INFO] New connection established! sid=62, remote=127.0.0.1:10742
[20:55:41.237] [INFO] New connection established! sid=63, remote=127.0.0.1:10743
[20:55:42.613] [INFO] New connection established! sid=64, remote=127.0.0.1:10744
[20:55:43.483] [INFO] New connection established! sid=65, remote=127.0.0.1:10745
[20:55:44.413] [INFO] New connection established! sid=66, remote=127.0.0.1:10746
[20:55:45.120] [INFO] New connection established! sid=67, remote=127.0.0.1:10747
[20:55:45.840] [INFO] New connection established! sid=68, remote=127.0.0.1:10748
[20:55:46.800] [INFO] New connection established! sid=69, remote=127.0.0.1:10749
[20:55:47.394] [INFO] New connection established! sid=70, remote=127.0.0.1:10750
[20:55:48.427] [INFO] New connection established! sid=71, remote=127.0.0.1:10751
[20:55:49.616] [INFO] New connection established! sid=72, remote=127.0.0.1:10752
[20:55:50.541] [INFO] New connection established! sid=73, remote=127.0.0.1:10753
[20:55:51.410] [INFO] New connection established! sid=74, remote=127.0.0.1:10754
[20:55:52.358] [INFO] New connection established! sid=75, remote=127.0.0.1:10755
[20:55:53.144] [INFO] New connection established! sid=76, remote=127.0.0.1:10756
[20:55:54.872] [INFO] New connection established! sid=77, remote=127.0.0.1:10757
[20:55:56.077] [INFO] New connection established! sid=78, remote=127.0.0.1:10758
[20:55:57.121] [INFO] New connection established! sid=79, remote=127.0.0.1:10759
[20:55:58.298] [INFO] New connection established! sid=80, remote=127.0.0.1:10760
[20:55:59.432] [INFO] New connection established! sid=81, remote=127.0.0.1:10761
[20:56:00.297] [INFO] New connection established! sid=82, remote=127.0.0.1:10762
[20:56:00.757] [INFO] New connection established! sid=83, remote=127.0.0.1:10763
[20:56:01.538] [INFO] New connection established! sid=84, remote=127.0.0.1:10764
[20:56:02.983] [INFO] New connection established! sid=85, remote=127.0.0.1:10765
[20:56:04.375] [INFO] New connection established! sid=86, remote=127.0.0.1:10766
[20:56:05.633] [INFO] New connection established! sid=87, remote=127.0.0.1:10767
[20:56:06.694] [INFO] New connection established! sid=88, remote=127.0.0.1:10768
[20:56:07.301] [INFO] New connection established! sid=89, remote=127.0.0.1:10769
[20:56:07.699] [INFO] New connection established! sid=90, remote=127.0.0.1:10770
[20:56:08.225] [INFO] New connection established! sid=91, remote=127.0.0.1:10771
[20:56:08.980] [INFO] New connection established! sid=92, remote=127.0.0.1:10772
[20:56:10.351] [INFO] New connection established! sid=93, remote=127.0.0.1:10773
[20:56:11.279] [INFO] New connection established! sid=94, remote=127.0.0.1:10774
[20:56:12.432] [INFO] New connection established! sid=95, remote=127.0.0.1:10775
[20:56:13.470] [INFO] New connection established! sid=96, remote=127.0.0.1:10776
[20:56:14.142] [INFO] New connection established! sid=97, remote=127.0.0.1:10777
[20:56:14.841] [INFO] New connection established! sid=98, remote=127.0.0.1:10778
[20:56:16.172] [INFO] New connection established! sid=99, remote=127.0.0.1:10779
[20:56:17.148] [INFO] New connection established! sid=100, remote=127.0.0.1:10780
[20:56:18.988] [INFO] New connection established! sid=101, remote=127.0.0.1:10782
[20:56:20.772] [INFO] New connection established! sid=102, remote=127.0.0.1:10783
[20:56:21.849] [INFO] New connection established! sid=103, remote=127.0.0.1:10784
[20:56:22.442] [INFO] New connection established! sid=104, remote=127.0.0.1:10785
[20:56:22.858] [INFO] New connection established! sid=105, remote=127.0.0.1:10786
[20:56:24.391] [INFO] New connection established! sid=106, remote=127.0.0.1:10787
[20:56:26.440] [INFO] New connection established! sid=107, remote=127.0.0.1:10788
[20:56:28.221] [INFO] New connection established! sid=108, remote=127.0.0.1:10789
[20:56:29.751] [INFO] New connection established! sid=109, remote=127.0.0.1:10790
[20:56:30.584] [INFO] New connection established! sid=110, remote=127.0.0.1:10791
[20:56:30.989] [INFO] New connection established! sid=111, remote=127.0.0.1:10792
[20:56:31.452] [INFO] New connection established! sid=112, remote=127.0.0.1:10793
[20:56:32.755] [INFO] New connection established! sid=113, remote=127.0.0.1:10794
[20:56:33.991] [INFO] New connection established! sid=114, remote=127.0.0.1:10797
[20:56:34.898] [INFO] New connection established! sid=115, remote=127.0.0.1:10798
[20:56:35.636] [INFO] New connection established! sid=116, remote=127.0.0.1:10799
[20:56:36.560] [INFO] New connection established! sid=117, remote=127.0.0.1:10800
[20:56:37.201] [INFO] New connection established! sid=118, remote=127.0.0.1:10801
[20:56:37.779] [INFO] New connection established! sid=119, remote=127.0.0.1:10802
[20:56:39.360] [INFO] New connection established! sid=120, remote=127.0.0.1:10803
[20:56:40.385] [INFO] New connection established! sid=121, remote=127.0.0.1:10804
[20:56:41.448] [INFO] New connection established! sid=122, remote=127.0.0.1:10805
[20:56:42.120] [INFO] New connection established! sid=123, remote=127.0.0.1:10806
[20:56:43.129] [INFO] New connection established! sid=124, remote=127.0.0.1:10807
[20:56:43.637] [INFO] New connection established! sid=125, remote=127.0.0.1:10808
[20:56:44.019] [INFO] New connection established! sid=126, remote=127.0.0.1:10809
[20:56:44.813] [INFO] New connection established! sid=127, remote=127.0.0.1:10810
[20:56:46.004] [INFO] New connection established! sid=128, remote=127.0.0.1:10811
[20:57:38.039] [INFO] Connection lost! sid=2, remote=127.0.0.1:10681
